Day post infection,Clade,FDR corrected,      Rpe ,       Npc ,      Hvmf,        HDF,       Vero  ,     Mrc5  ,     Huh7 ,      A549
1,Clade B,0,0.403395,0.0539369,0.913059,0.0121858,0.0367139,0.391668,0.198829,0.0380382
1,Clade C,0,0.29627,0.520583,0.520583,0.0121858,0.0156505,0.133862,0.830431,0.198829
1,Clade D,0,0.530869,0.198829,0.126379,0.0121858,0.027803,0.520583,0.0344536,0.133862
1,Clade E,0,0.463344,0.010176,0.668434,0.0121858,0.0121858,0.452099,0.133862,0.107123
1,Clade F,0,1,0.333666,0.086677,0.0121858,0.753298,0.198829,0.391668,0.086677
1,Clade G,0,0.116074,0.010176,0.133862,0.0121858,0.344267,1,0.391668,0.0539369
1,Clade H,0,0.0367139,0.133862,0.452099,0.0121858,0.463344,0.010176,0.086677,1
1,Clade I,0,0.345742,0.0322344,0.126379,0.0121858,0.599286,0.198829,0.086677,0.668434
1,PA1   ,0,0.142457,0.086677,0.138792,0.0121858,0.0946929,1,0.0344536,0.133862
1,PA2   ,0,0.29627,0.906329,0.167938,0.0121858,0.290347,0.0539369,0.391668,0.913059
1,PA3   ,0,0.0946929,0.133862,0.0200082,0.0121858,0.674236,0.138792,0.0111594,0.138792
1,Clade B,1,0.554669,0.148327,0.913059,0.0121858,0.100963,0.615478,0.312445,0.218101
1,Clade C,1,0.543161,0.572641,0.636268,0.0121858,0.086078,0.36452,0.830431,0.27339
1,Clade D,1,0.583956,0.27339,0.254452,0.0121858,0.100963,0.636268,0.12633,0.218101
1,Clade E,1,0.566309,0.0559681,0.735277,0.0121858,0.086078,0.621636,0.245414,0.218101
1,Clade F,1,1,0.407815,0.254452,0.0121858,0.753298,0.36452,0.430835,0.218101
1,Clade G,1,0.391756,0.0559681,0.254452,0.0121858,0.54099,1,0.430835,0.218101
1,Clade H,1,0.391756,0.210355,0.621636,0.0121858,0.637098,0.111936,0.190689,1
1,Clade I,1,0.543309,0.118193,0.254452,0.0121858,0.732461,0.36452,0.190689,0.816975
1,PA1   ,1,0.391756,0.190689,0.254452,0.0121858,0.208324,1,0.12633,0.218101
1,PA2   ,1,0.543161,0.906329,0.263903,0.0121858,0.532303,0.296653,0.430835,1
1,PA3   ,1,0.391756,0.210355,0.22009,0.0121858,0.741659,0.36452,0.122754,0.218101
2,Clade B,0,0.010176,1,0.0539369,0.753298,0.0215717,0.010176,0.133862,0.391668
2,Clade C,0,0.273322,0.520583,0.0539369,0.595883,0.0367139,0.198829,0.237369,0.830431
2,Clade D,0,0.237369,1,0.914458,0.676103,0.0121858,0.010176,0.830431,0.585131
2,Clade E,0,0.010176,0.010176,0.010176,0.916563,0.0121858,0.010176,0.133862,0.0539369
2,Clade F,0,0.07064,0.391668,0.520583,0.834532,0.676103,0.010176,0.133862,0.452099
2,Clade G,0,0.010176,0.133862,0.0218592,0.753298,0.173217,0.668434,0.0322344,0.198829
2,Clade H,0,0.133862,0.520583,0.133862,0.916563,0.403395,0.391668,0.133862,0.391668
2,Clade I,0,0.198829,0.133862,0.0184908,1,0.210075,0.010176,0.010176,0.0539369
2,PA1   ,0,0.010176,0.0240855,0.333666,1,0.0159707,0.008784,0.668434,0.133862
2,PA2   ,0,0.520583,0.0322344,0.672336,0.672336,0.210075,0.520583,0.284284,0.333666
2,PA3   ,0,0.010176,0.830431,0.138792,0.2073,0.527089,0.138792,0.0111594,0.198829
2,Clade B,1,0.0223872,1,0.118661,1,0.0593223,0.018656,0.210355,0.538543
2,Clade C,1,0.300654,0.715801,0.118661,1,0.0807705,0.27339,0.326382,0.830431
2,Clade D,1,0.290117,1,0.914458,1,0.0585592,0.018656,0.830431,0.643644
2,Clade E,1,0.0223872,0.111936,0.0801506,1,0.0585592,0.018656,0.210355,0.296653
2,Clade F,1,0.129507,0.715801,0.636268,1,0.676103,0.018656,0.210355,0.552565
2,Clade G,1,0.0223872,0.294497,0.0801506,1,0.288853,0.668434,0.118193,0.437424
2,Clade H,1,0.210355,0.715801,0.218101,1,0.493039,0.478705,0.210355,0.538543
2,Clade I,1,0.27339,0.294497,0.0801506,1,0.288853,0.018656,0.0613768,0.296653
2,PA1   ,1,0.0223872,0.118193,0.458791,1,0.0585592,0.018656,0.735277,0.437424
2,PA2   ,1,0.520583,0.118193,0.739569,1,0.288853,0.572641,0.347458,0.538543
2,PA3   ,1,0.0223872,1,0.218101,1,0.579798,0.218101,0.0613768,0.437424
3,Clade B,0,0.010176,0.00993701,0.010176,1,0.0159707,0.0367139,0.249153,0.916563
3,Clade C,0,0.010176,0.0218592,0.0111594,0.290347,0.0121858,0.116074,0.0121858,0.675174
3,Clade D,0,0.086677,0.010176,0.668434,0.528359,0.0121858,0.0215717,1,0.834532
3,Clade E,0,0.010176,0.010176,0.010176,0.672336,0.0121858,0.0601028,1,0.0119252
3,Clade F,0,0.133862,0.133862,0.023838,1,0.210075,1,0.834532,0.397615
3,Clade G,0,0.0539369,0.133862,0.010176,0.834035,0.249153,0.0361451,0.210075,0.345742
